CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40686;02/04/2017;R$ 477,36;R$ 7,34;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47597;02/04/2017;R$ 32,49;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44993;02/04/2017;R$ 32,89;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37156;02/04/2017;R$ 1.413,51;R$ 20,86;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30623;02/04/2017;R$ 510,11;R$ 7,85;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15131;02/04/2017;R$ 867,60;R$ 12,80;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38172;02/04/2017;R$ 424,39;R$ 6,53;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);72217;02/04/2017;R$ 33,00;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);25952;02/04/2017;R$ 766,29;R$ 10,83;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);50714;02/04/2017;R$ 747,56;R$ 11,03;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);34051;02/04/2017;R$ 721,38;R$ 4,91;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37639;02/04/2017;R$ 32,50;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40175;02/04/2017;R$ 32,85;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44489;02/04/2017;R$ 33,12;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44636;02/04/2017;R$ 506,86;R$ 7,48;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40533;02/04/2017;R$ 530,56;R$ 8,16;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38191;02/04/2017;R$ 268,91;R$ 4,13;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);61772;02/04/2017;R$ 32,51;R$ 0,22;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30123;02/04/2017;R$ 49,46;R$ 0,76;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);60259;02/04/2017;R$ 32,42;R$ 0,49;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45899;02/04/2017;R$ 568,88;R$ 8,39;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);34585;02/04/2017;R$ 33,08;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);34625;02/04/2017;R$ 32,51;R$ 0,45;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30714;02/04/2017;R$ 1.208,72;R$ 18,60;CALCULADO
