CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36623;02/03/2017;R$ 26,88;R$ 0,34;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);28875;02/03/2017;R$ 90,40;R$ 1,15;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10263;02/03/2017;R$ 1,39;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38487;02/03/2017;R$ 29,85;R$ 0,38;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);7768;02/03/2017;R$ 16,80;R$ 0,21;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36655;02/03/2017;R$ 39,74;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);6685;02/03/2017;R$ 1,98;R$ 0,02;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);15621;02/03/2017;R$ 20,01;R$ 0,10;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10293;02/03/2017;R$ 22,05;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11273;02/03/2017;R$ 22,85;R$ 0,11;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11270;02/03/2017;R$ 25,43;R$ 0,13;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11237;02/03/2017;R$ 10,63;R$ 0,05;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;6188;02/03/2017;R$ 7,98;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38475;02/03/2017;R$ 7,06;R$ 0,09;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12683;02/03/2017;R$ 22,21;R$ 0,28;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38334;02/03/2017;R$ 6,86;R$ 0,08;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12677;02/03/2017;R$ 31,70;R$ 0,40;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11220;02/03/2017;R$ 8,86;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28358;02/03/2017;R$ 21,33;R$ 0,11;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11211;02/03/2017;R$ 10,15;R$ 0,05;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10257;02/03/2017;R$ 42,98;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36605;02/03/2017;R$ 14,58;R$ 0,18;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34853;02/03/2017;R$ 22,64;R$ 0,28;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10248;02/03/2017;R$ 16,96;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);47860;02/03/2017;R$ 4,89;R$ 0,06;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38059;02/03/2017;R$ 4,05;R$ 0,05;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);28883;02/03/2017;R$ 14,89;R$ 0,19;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);17123;02/03/2017;R$ 20,14;R$ 0,10;CALCULADO
79.430.682/0077-20;FARMACIA E DROGARIA NISSEI SA;607291;02/03/2017;R$ 6,99;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);39132;02/03/2017;R$ 47,62;R$ 0,60;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38943;02/03/2017;R$ 0,99;R$ 0,01;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36739;02/03/2017;R$ 76,78;R$ 0,98;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);39346;02/03/2017;R$ 12,77;R$ 0,16;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11226;02/03/2017;R$ 9,50;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11272;02/03/2017;R$ 5,66;R$ 0,02;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;6217;02/03/2017;R$ 3,95;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;6202;02/03/2017;R$ 2,73;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28229;02/03/2017;R$ 5,50;R$ 0,02;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28228;02/03/2017;R$ 6,00;R$ 0,03;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28232;02/03/2017;R$ 3,00;R$ 0,01;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28226;02/03/2017;R$ 17,50;R$ 0,09;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28224;02/03/2017;R$ 17,50;R$ 0,09;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28217;02/03/2017;R$ 8,50;R$ 0,04;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);25938;02/03/2017;R$ 26,90;R$ 0,33;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49809;02/03/2017;R$ 32,83;R$ 0,40;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33082;02/03/2017;R$ 15,54;R$ 0,19;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);39434;02/03/2017;R$ 20,42;R$ 0,25;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42439;02/03/2017;R$ 3,65;R$ 0,04;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35670;02/03/2017;R$ 15,07;R$ 0,17;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);30050;02/03/2017;R$ 36,58;R$ 0,41;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48574;02/03/2017;R$ 8,54;R$ 0,09;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);47396;02/03/2017;R$ 1,99;R$ 0,02;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);8644;02/03/2017;R$ 9,33;R$ 0,10;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49908;02/03/2017;R$ 9,99;R$ 0,12;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51707;02/03/2017;R$ 10,75;R$ 0,13;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33127;02/03/2017;R$ 185,50;R$ 2,27;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);41129;02/03/2017;R$ 29,53;R$ 0,36;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33662;02/03/2017;R$ 18,68;R$ 0,22;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48600;02/03/2017;R$ 7,09;R$ 0,07;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45601;02/03/2017;R$ 31,54;R$ 0,34;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);11286;02/03/2017;R$ 19,98;R$ 0,22;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45426;02/03/2017;R$ 67,12;R$ 0,74;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);36775;02/03/2017;R$ 3,59;R$ 0,04;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51585;02/03/2017;R$ 20,89;R$ 0,25;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79988;02/03/2017;R$ 8,50;R$ 0,00;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51739;02/03/2017;R$ 21,03;R$ 0,25;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33128;02/03/2017;R$ 76,09;R$ 0,93;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45592;02/03/2017;R$ 27,81;R$ 0,31;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51640;02/03/2017;R$ 10,49;R$ 0,12;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51704;02/03/2017;R$ 34,65;R$ 0,42;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49884;02/03/2017;R$ 9,73;R$ 0,11;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49823;02/03/2017;R$ 47,07;R$ 0,57;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49787;02/03/2017;R$ 18,98;R$ 0,23;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49674;02/03/2017;R$ 12,80;R$ 0,15;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);31987;02/03/2017;R$ 11,94;R$ 0,14;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33094;02/03/2017;R$ 101,48;R$ 1,24;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);45319;02/03/2017;R$ 4,12;R$ 0,05;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33455;02/03/2017;R$ 26,44;R$ 0,32;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49769;02/03/2017;R$ 20,06;R$ 0,24;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80133;02/03/2017;R$ 53,00;R$ 0,04;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33098;02/03/2017;R$ 3,38;R$ 0,04;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49626;02/03/2017;R$ 2,41;R$ 0,02;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);25900;02/03/2017;R$ 25,19;R$ 0,30;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33122;02/03/2017;R$ 67,34;R$ 0,82;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48801;02/03/2017;R$ 99,47;R$ 1,10;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80001;02/03/2017;R$ 48,00;R$ 0,04;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48816;02/03/2017;R$ 3,71;R$ 0,04;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);36643;02/03/2017;R$ 4,93;R$ 0,05;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42253;02/03/2017;R$ 83,75;R$ 0,94;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);43904;02/03/2017;R$ 11,80;R$ 0,13;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);31068;02/03/2017;R$ 7,06;R$ 0,07;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49888;02/03/2017;R$ 34,24;R$ 0,42;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49734;02/03/2017;R$ 12,57;R$ 0,15;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49641;02/03/2017;R$ 41,77;R$ 0,51;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);28839;02/03/2017;R$ 2,42;R$ 0,02;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49897;02/03/2017;R$ 36,17;R$ 0,44;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49683;02/03/2017;R$ 13,45;R$ 0,16;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);43744;02/03/2017;R$ 41,71;R$ 0,46;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);28769;02/03/2017;R$ 3,84;R$ 0,04;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48804;02/03/2017;R$ 16,96;R$ 0,18;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45606;02/03/2017;R$ 24,65;R$ 0,27;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51530;02/03/2017;R$ 8,99;R$ 0,11;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51639;02/03/2017;R$ 11,03;R$ 0,13;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80074;02/03/2017;R$ 10,00;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);41829;02/03/2017;R$ 9,52;R$ 0,10;CALCULADO
15.870.761/0002-52;V TRAIANO LANCHONETE LTDA ME;13333;02/03/2017;R$ 8,50;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48651;02/03/2017;R$ 1,69;R$ 0,01;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);29586;02/03/2017;R$ 10,50;R$ 0,12;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80004;02/03/2017;R$ 24,00;R$ 0,02;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);41102;02/03/2017;R$ 30,29;R$ 0,37;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49689;02/03/2017;R$ 33,65;R$ 0,41;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45655;02/03/2017;R$ 8,88;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50305;02/03/2017;R$ 31,58;R$ 0,35;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42346;02/03/2017;R$ 8,09;R$ 0,09;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42452;02/03/2017;R$ 46,77;R$ 0,52;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);21755;02/03/2017;R$ 9,21;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50236;02/03/2017;R$ 62,05;R$ 0,70;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42388;02/03/2017;R$ 8,00;R$ 0,09;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42305;02/03/2017;R$ 15,92;R$ 0,17;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);30035;02/03/2017;R$ 23,15;R$ 0,26;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38539;02/03/2017;R$ 8,43;R$ 0,09;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);32941;02/03/2017;R$ 23,04;R$ 0,26;CALCULADO
15.870.761/0002-52;V TRAIANO LANCHONETE LTDA ME;13330;02/03/2017;R$ 10,00;R$ 0,00;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);30044;02/03/2017;R$ 19,77;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);30005;02/03/2017;R$ 46,75;R$ 0,52;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38644;02/03/2017;R$ 10,38;R$ 0,11;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42318;02/03/2017;R$ 28,93;R$ 0,32;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);30054;02/03/2017;R$ 19,37;R$ 0,21;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50039;02/03/2017;R$ 16,84;R$ 0,19;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38613;02/03/2017;R$ 20,38;R$ 0,23;CALCULADO
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;38073;02/03/2017;R$ 10,45;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;9090;02/03/2017;R$ 5,99;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;11788;02/03/2017;R$ 6,25;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;11806;02/03/2017;R$ 2,25;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;38138;02/03/2017;R$ 13,07;R$ 0,00;NOTA NÃO PARTICIPANTE
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38890;02/03/2017;R$ 8,75;R$ 0,11;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);6716;02/03/2017;R$ 634,56;R$ 8,11;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);28856;02/03/2017;R$ 18,26;R$ 0,23;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28234;02/03/2017;R$ 8,50;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28220;02/03/2017;R$ 11,00;R$ 0,05;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);15655;02/03/2017;R$ 4,38;R$ 0,02;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28362;02/03/2017;R$ 63,67;R$ 0,32;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28238;02/03/2017;R$ 17,50;R$ 0,09;CALCULADO
79.065.181/0031-00;Distribuidora Curitiba de Papeis e Livros S/A;9739;02/03/2017;R$ 11,50;R$ 0,01;CALCULADO
77.784.189/0002-66;SUPERMERCADO GRICZINSKI LTDA;11386;02/03/2017;R$ 8,31;R$ 0,15;CALCULADO
