CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29702;01/03/2017;R$ 15,17;R$ 0,07;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34553;01/03/2017;R$ 46,89;R$ 0,59;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34558;01/03/2017;R$ 0,98;R$ 0,01;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44331;01/03/2017;R$ 3,48;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28033;01/03/2017;R$ 128,75;R$ 0,66;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29754;01/03/2017;R$ 5,89;R$ 0,03;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29748;01/03/2017;R$ 2,83;R$ 0,01;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);51639;01/03/2017;R$ 11,52;R$ 0,05;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37858;01/03/2017;R$ 19,47;R$ 0,24;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);51577;01/03/2017;R$ 5,63;R$ 0,02;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79888;01/03/2017;R$ 28,50;R$ 0,02;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31619;01/03/2017;R$ 106,57;R$ 1,36;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79949;01/03/2017;R$ 25,00;R$ 0,02;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28019;01/03/2017;R$ 16,50;R$ 0,08;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31680;01/03/2017;R$ 27,22;R$ 0,34;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);51831;01/03/2017;R$ 38,44;R$ 0,19;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);51564;01/03/2017;R$ 46,28;R$ 0,23;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15951;01/03/2017;R$ 10,49;R$ 0,13;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29753;01/03/2017;R$ 15,14;R$ 0,07;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12578;01/03/2017;R$ 20,75;R$ 0,26;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11174;01/03/2017;R$ 3,22;R$ 0,01;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4136;01/03/2017;R$ 26,86;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10191;01/03/2017;R$ 5,65;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11165;01/03/2017;R$ 7,23;R$ 0,03;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4082;01/03/2017;R$ 20,53;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4123;01/03/2017;R$ 7,77;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4111;01/03/2017;R$ 6,65;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4175;01/03/2017;R$ 3,40;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4079;01/03/2017;R$ 40,83;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4144;01/03/2017;R$ 9,72;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4190;01/03/2017;R$ 44,77;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10057;01/03/2017;R$ 8,04;R$ 0,00;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);49916;01/03/2017;R$ 7,50;R$ 0,08;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11175;01/03/2017;R$ 18,70;R$ 0,09;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4054;01/03/2017;R$ 11,30;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4069;01/03/2017;R$ 4,65;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4163;01/03/2017;R$ 2,20;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12492;01/03/2017;R$ 59,96;R$ 0,76;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);28651;01/03/2017;R$ 48,94;R$ 0,62;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11166;01/03/2017;R$ 6,26;R$ 0,03;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4107;01/03/2017;R$ 0,99;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4061;01/03/2017;R$ 2,59;R$ 0,00;CALCULADO
